time,pair,direction,entry,sl,tp,risk_pct,volume,risk_amt,result,exit_price,exit_time,bars_held,pnl,balance,reason,score,_bar_idx
2024-08-16 12:00:00,USD/JPY,SELL,149.08,150.240278,147.919722,2.0,0.08,206.89,win,147.919722,2024-08-16 12:00:00,6,206.89,10551.17,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1014
2024-08-19 04:00:00,USD/JPY,SELL,147.685,149.396,146.888972,2.0,0.05,211.02,win,146.888972,2024-08-19 04:00:00,2,98.18,10649.35,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1019
2024-08-20 16:00:00,USD/JPY,SELL,146.542,149.396,145.400917,2.0,0.03,212.99,win,145.400917,2024-08-20 16:00:00,6,85.16,10734.51,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1028
2024-10-23 00:00:00,USD/JPY,BUY,150.663,148.252,151.267108,2.0,0.04,214.69,win,151.267108,2024-10-23 00:00:00,6,53.79,10788.3,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1309
2024-11-06 04:00:00,USD/JPY,BUY,153.384,149.366,154.245017,2.0,0.02,215.77,win,154.245017,2024-11-06 04:00:00,35,46.24,10834.54,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1372
2024-11-13 16:00:00,USD/JPY,BUY,154.429,151.286,155.575252,2.0,0.03,216.69,win,155.575252,2024-11-13 16:00:00,31,79.03,10913.56,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1406
2024-11-20 04:00:00,USD/JPY,BUY,154.512,152.142,155.447812,2.0,0.04,218.27,win,155.447812,2024-11-20 04:00:00,6,86.19,10999.75,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1434
2024-12-18 20:00:00,USD/JPY,BUY,153.843,149.692,154.496248,2.0,0.02,219.99,win,154.496248,2024-12-18 20:00:00,9,34.62,11034.37,Полный сетап (3/4): D1=N | H4=Y | COT=Y | Trend=Y,3,1562
2024-12-26 16:00:00,USD/JPY,BUY,156.954,153.325,157.998378,2.0,0.03,220.69,win,157.998378,2024-12-26 16:00:00,28,63.51,11097.88,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1593
2024-12-31 00:00:00,USD/JPY,BUY,157.755,153.161,158.186835,2.0,0.02,221.96,open,157.755,2024-12-31 00:00:00,0,0.0,11097.88,Полный сетап (3/4): D1=Y | H4=N | COT=Y | Trend=Y,3,1596
2025-02-10 12:00:00,XAU/USD,BUY,2876.87,2834.32,2908.011868,1.0,0.01,100.0,win,2908.011868,2025-02-10 12:00:00,6,73.19,10073.19,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,165
2025-02-24 12:00:00,XAU/USD,BUY,2918.98,2852.61,2955.022337,1.0,0.01,100.73,win,2955.022337,2025-02-24 12:00:00,57,54.7,10127.89,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,225
2025-02-25 12:00:00,XAU/USD,BUY,2937.54,2924.13,2965.092102,1.0,0.02,101.28,loss,2924.13,2025-02-25 12:00:00,1,-101.28,10026.61,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,231
2025-02-26 12:00:00,XAU/USD,BUY,2921.21,2892.08,2956.753603,1.0,0.01,100.27,loss,2892.08,2025-02-26 12:00:00,3,-100.27,9926.34,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,237
2025-03-13 00:00:00,XAU/USD,BUY,2914.25,2902.11,2945.06607,1.0,0.02,99.26,win,2945.06607,2025-03-13 00:00:00,9,251.96,10178.3,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,301
2025-03-13 12:00:00,XAU/USD,BUY,2935.27,2902.11,2963.550571,1.0,0.01,99.26,win,2963.550571,2025-03-13 12:00:00,5,84.65,10262.96,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,304
2025-03-28 00:00:00,XAU/USD,BUY,3042.22,2982.34,3064.392145,1.0,0.01,102.63,win,3064.392145,2025-03-28 00:00:00,42,38.0,10300.96,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,369
2025-03-31 04:00:00,XAU/USD,BUY,3070.35,3025.87,3102.201536,1.0,0.01,103.01,win,3102.201536,2025-03-31 04:00:00,4,73.76,10374.72,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,376
2025-04-03 00:00:00,XAU/USD,BUY,3117.94,3025.87,3153.930993,1.0,0.01,103.75,win,3153.930993,2025-04-03 00:00:00,14,40.56,10415.28,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,393
2025-04-07 00:00:00,XAU/USD,BUY,3086.0,3013.34,3147.143142,1.0,0.01,104.15,loss,3013.34,2025-04-07 00:00:00,9,-104.15,10311.13,Средний сигнал (2/4): D1=Y | H4=N | COT=Y | Trend=?,2,405
2025-04-21 00:00:00,XAU/USD,BUY,3321.69,3213.77,3370.79477,1.0,0.01,103.11,win,3370.79477,2025-04-21 00:00:00,4,46.92,10358.04,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,459
2025-04-22 04:00:00,XAU/USD,BUY,3420.41,3284.11,3476.08607,1.0,0.01,103.58,win,3476.08607,2025-04-22 04:00:00,4,42.31,10400.35,Средний сигнал (2/4): D1=N | H4=Y | COT=Y | Trend=?,2,466
